,Cluster Name,Keyword,#,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential
1712,100 cotton socks uk,100 cotton socks asda,1713,gb,1.0,300,,0.86,asda socks,2022-01-03 19:05:50,"Sitelinks,Image pack",300,3800.0
4335,100 cotton socks uk,100 cotton socks marks and spencer,4336,gb,0.0,100,,,cotton socks,2022-01-02 13:32:15,"People also ask,Sitelinks,Image pack",100,150.0
2236,100 cotton socks uk,100 cotton socks mens,2237,gb,0.0,200,0.8,1.32,100 cotton socks,2022-01-01 06:02:48,"Sitelinks,People also ask",1200,2100.0
4030,100 cotton socks uk,100 cotton socks mens uk,4031,gb,0.0,100,,,100 cotton socks,2022-01-01 21:08:41,"People also ask,Sitelinks",100,2100.0
2098,100 cotton socks uk,100 cotton socks uk,2099,gb,0.0,250,0.6,0.83,100 cotton socks,2022-01-20 05:30:28,"Shopping results,Thumbnails,People also ask,Sitelinks",300,2100.0
4396,100 cotton socks uk,100 cotton socks women's uk,4397,gb,0.0,100,,,cotton socks women,2022-01-12 07:42:47,"Shopping results,Thumbnails,Sitelinks,People also ask,Adwords bottom",100,300.0
1503,100 cotton socks uk,100 merino wool socks,1504,gb,2.0,300,0.8,1.17,wool socks uk,2022-01-15 16:09:12,"People also ask,Sitelinks,Image pack",1200,1800.0
3587,100 cotton socks uk,100 merino wool socks uk,3588,gb,1.0,150,,,merino wool socks,2021-12-31 19:23:30,"People also ask,Sitelinks",150,2500.0
2375,100 cotton socks uk,100 organic cotton socks,2376,gb,0.0,200,0.7,,100 cotton socks,2022-01-02 04:05:16,People also ask,400,200.0
3916,100 cotton socks uk,100% cotton socks marks and spencer,3917,gb,0.0,100,,,cotton socks,2021-12-30 21:46:08,"People also ask,Image pack",100,150.0
1880,100 cotton socks uk,100% merino wool socks uk,1881,gb,1.0,250,,1.26,merino wool socks,2022-01-03 12:49:48,"People also ask,Shopping results,Thumbnails,Sitelinks",250,1800.0
2706,100 cotton socks uk,cotton walking socks,2707,gb,0.0,150,0.6,,cotton walking socks,2021-12-28 00:51:53,"People also ask,Sitelinks",150,60.0
4760,100 cotton socks uk,egyptian cotton socks,4761,gb,0.0,100,1.4,,egyptian cotton socks,2022-01-03 04:54:49,"Sitelinks,Image pack",200,20.0
3334,100 cotton socks uk,mens 100 cotton socks,3335,gb,0.0,150,0.7,,100 cotton socks,2022-01-04 16:55:14,"Sitelinks,People also ask",700,2200.0
4122,100 cotton socks uk,organic cotton socks uk,4123,gb,8.0,100,1.0,,100 organic cotton socks,2022-01-13 10:01:21,"Sitelinks,Image pack",100,150.0
4862,100 mile socks,100 mile socks,4863,gb,0.0,100,0.3,,1000 mile socks,2022-01-15 08:58:23,Sitelinks,150,3000.0
2709,100 mile socks,1000 mile 3 season walk socks,2710,gb,0.0,150,,,1000 mile walking socks,2022-01-02 08:45:23,"Sitelinks,People also ask",150,350.0
3100,100 mile socks,1000 mile compression socks,3101,gb,0.0,150,0.45,,1000 mile compression socks,2022-01-16 00:00:15,"Sitelinks,Image pack",200,80.0
4227,100 mile socks,1000 mile double layer socks,4228,gb,0.0,100,,,walking socks mens,2021-12-31 00:57:52,"Shopping results,Thumbnails,Sitelinks",100,450.0
1714,100 mile socks,1000 mile running socks,1715,gb,0.0,300,0.7,1.04,1000 mile running socks,2022-01-06 07:53:26,"Sitelinks,People also ask",350,200.0
90,100 mile socks,1000 mile socks,91,gb,0.0,3400,0.6,1.14,walking socks,2022-01-22 01:52:56,"Sitelinks,People also ask",4500,450.0
4503,100 mile socks,1000 mile socks double layer,4504,gb,0.0,100,,,1000 mile 3 season walk socks,2022-01-13 02:56:57,"People also ask,Shopping results,Thumbnails,Sitelinks,Image pack",100,350.0
1808,100 mile socks,1000 mile walking socks,1809,gb,0.0,250,0.7,0.93,1000 mile walking socks,2022-01-02 12:52:26,"Shopping results,Thumbnails,Sitelinks,People also ask,Top stories,Videos,Image pack",250,350.0
3696,100 mile socks,1000 miles socks,3697,gb,0.0,150,,1.05,1000 mile socks,2022-01-20 08:28:05,"Sitelinks,People also ask",300,3000.0
2175,100 mile socks,more mile running socks,2176,gb,0.0,200,0.45,1.43,more mile socks,2022-01-20 12:24:36,"Sitelinks,People also ask,Image pack",250,900.0
646,100 mile socks,more mile socks,647,gb,0.0,700,0.45,1.07,more mile socks,2022-01-20 15:46:47,"Sitelinks,People also ask",800,900.0
