Top queries,Clicks,Impressions,CTR,Position
Grandview hotel,5200,"48,000",10.83%,1.00
grandview resort,2600,"21,000",12.38%,1.00
grandview hotel deals,900,"12,500",7.20%,1.20
grandview hotel booking,740,8100,9.14%,1.10
grandview spa,610,7400,8.24%,1.30
grandview buffet,830,9800,8.47%,1.50
grandview rooms,450,5600,8.04%,1.80
grandview pool,390,6100,6.39%,2.10
luxury resort downtown,310,9400,3.30%,3.20
hotel with rooftop pool,280,"11,200",2.50%,4.60
spa hotel weekend deals,150,7300,2.05%,6.80
family resort with waterpark,90,8800,1.02%,9.40
hotel wedding venue,60,5200,1.15%,11.70
hotel restaurant fine dining,110,4600,2.39%,7.90
what time is check in at grandview,620,4100,15.12%,1.00
grandview parking,540,3600,15.00%,1.10
grandview pool hours,410,2900,14.14%,1.00
grandview careers,330,2500,13.20%,1.20
resort fee meaning,240,"15,600",1.54%,5.30
what is a junior suite,180,"12,400",1.45%,6.10
best time to book a hotel room,95,9800,0.97%,8.70
hotel late check out tips,70,5100,1.37%,7.40
